url,europeana_issue_id,datestamp,date,publisher,spatial_distribution,spatial_origin,languages
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010108005:mpeg21:a0001,/9200359/BibliographicResource_3000115913113,2021-01-06T11:54:20.682Z,1909-02-17,Steendrukkerĳ Roeloffzen en Hübner;NV De Kleine Courant,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010192708:mpeg21:a0106,/9200359/BibliographicResource_3000100717926,2021-01-07T05:01:53.619Z,1926-06-26,N. Luĳten,Regionaal/lokaal,Tilburg,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011180062:mpeg21:a0040,/9200359/BibliographicResource_3000115617136,2021-01-06T15:42:45.218Z,1894-08-29,The Heyrman Pub. Co,Verenigde Staten,"De Pere, Brown, Wisconsin","nl, en"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110531056:mpeg21:a0125,/9200359/BibliographicResource_3000115900630,2021-01-06T10:50:58.458Z,1940-09-02,G.W. van Belle,Landelijk,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011113791:mpeg21:a0100,/9200359/BibliographicResource_3000116001740,2021-01-06T15:04:18.532Z,1931-02-05,Arbeiderspers,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010280652:mpeg21:a0003,/9200359/BibliographicResource_3000115974471,2021-01-06T13:56:34.614Z,1917-03-17,NV Paulus Drukkerĳ,Nederlandse Antillen,[Willemstad,"nl, es"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011062142:mpeg21:a0001,/9200359/BibliographicResource_3000115606157,2021-01-05T21:14:40.235Z,1940-02-02,s.n.,Regionaal/lokaal,Den Haag,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110616557:mpeg21:a0081,/9200359/BibliographicResource_3000115937547,2021-01-06T15:27:54.943Z,1893-07-18,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011213280:mpeg21:a0016,/9200359/BibliographicResource_3000115804973,2021-01-06T06:23:39.444Z,1903-08-20,T. Libertador Ellis,Suriname,Paramaribo,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010482235:mpeg21:a0116,/9200359/BibliographicResource_3000113011999,2021-01-06T20:06:50.001Z,1936-03-18,Sociaal-Democratische Partĳ,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011071124:mpeg21:a0040,/9200359/BibliographicResource_3000115610385,2021-01-05T21:24:17.911Z,1935-07-03,P.A. May,Suriname,[Paramaribo],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110621392:mpeg21:a0065,/9200359/BibliographicResource_3000115944257,2021-01-06T15:38:54.670Z,1911-04-18,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011117705:mpeg21:a0100,/9200359/BibliographicResource_3000115981649,2021-01-06T14:28:07.198Z,1940-11-18,Arbeiderspers,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010605383:mpeg21:a0147,/9200359/BibliographicResource_3000115714474,2021-01-06T02:27:07.641Z,1931-11-28,D.R. Smeding en M. Koon,Regionaal/lokaal,Leeuwarden,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011186267:mpeg21:a0031,/9200359/BibliographicResource_3000116000158,2021-01-06T16:07:09.450Z,1940-07-24,[s.n.],Verenigde Staten,Chicago (Ill.),"nl, en"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010943600:mpeg21:a0099,/9200359/BibliographicResource_3000115952412,2021-01-06T13:14:00.272Z,1939-09-08,Arbeiderspers,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010666974:mpeg21:a0014,/9200359/BibliographicResource_3000112809524,2021-01-07T08:07:15.110Z,1914-06-02,Nieuwenhuis,Regionaal/lokaal,Groningen,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110576997:mpeg21:a0178,/9200359/BibliographicResource_3000115861721,2021-01-06T09:21:30.053Z,1936-09-21,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010109407:mpeg21:a0110,/9200359/BibliographicResource_3000112860730,2021-01-07T08:59:58.591Z,1914-04-18,Steendrukkerĳ Roeloffzen en Hübner;NV De Kleine Courant,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010692951:mpeg21:a0063,/9200359/BibliographicResource_3000115365241,2021-01-07T03:17:50.176Z,1940-09-23,bP J.A. Willige Gratema,Regionaal/lokaal,Assen,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011184383:mpeg21:a0046,/9200359/BibliographicResource_3000115618017,2021-01-06T16:02:50.470Z,1937-04-22,Henry Hospers,Verenigde Staten,"Orange City, Iowa",nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011024669:mpeg21:a0197,/9200359/BibliographicResource_3000115811743,2021-01-06T06:35:06.343Z,1924-01-26,K. Weyerhorst,Regionaal/lokaal,Heerlen,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010162599:mpeg21:a0110,/9200359/BibliographicResource_3000112967131,2021-01-07T03:30:16.730Z,1898-12-25,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,"fr, nl"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110620874:mpeg21:a0299,/9200359/BibliographicResource_3000115943763,2021-01-06T15:32:30.109Z,1902-12-16,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110531203:mpeg21:a0137,/9200359/BibliographicResource_3000115900800,2021-01-06T10:51:39.260Z,1940-12-13,G.W. van Belle,Landelijk,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010341039:mpeg21:a0018,/9200359/BibliographicResource_3000112783220,2021-01-07T04:46:22.017Z,1910-12-06,J. Morpurgo,Suriname,Paramaribo,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011217739:mpeg21:a0069,/9200359/BibliographicResource_3000115788841,2021-01-06T16:15:44.843Z,1932-09-11,Timmerman,Suriname,[Paramaribo],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010238059:mpeg21:a0217,/9200359/BibliographicResource_3000100669204,2021-01-06T16:37:03.953Z,1937-09-20,A. Arts,Regionaal/lokaal,Tilburg,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010163480:mpeg21:a0027,/9200359/BibliographicResource_3000115671812,2021-01-06T00:05:36.850Z,1900-03-19,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110558141:mpeg21:a0130,/9200359/BibliographicResource_3000115850755,2021-01-06T08:06:38.072Z,1905-04-08,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
